"State","Method","Year","Month","Value"
"State1","Other Injectable",2015,"May",0
"State1","Other Injectable",2015,"June",0
"State1","Other Injectable",2015,"July",0
"State1","Other Injectable",2015,"August",0
"State1","Other Injectable",2015,"September",0
"State1","Other Injectable",2015,"October",0
"State1","Other Injectable",2015,"November",0
"State1","Other Injectable",2015,"December",0
"State1","Other OC Pill",2015,"January",0
"State1","Other OC Pill",2015,"February",0
"State1","Other OC Pill",2015,"March",0
"State1","Other OC Pill",2015,"April",0
"State1","Other OC Pill",2015,"May",0
"State1","Other OC Pill",2015,"June",0
"State1","Other OC Pill",2015,"July",0
"State1","Other OC Pill",2015,"August",0
"State1","Other OC Pill",2015,"September",0
"State1","Other OC Pill",2015,"October",0
"State1","Other OC Pill",2015,"November",0
"State1","Other OC Pill",2015,"December",0
"State1","Progestin only (POP)",2015,"January",128064
"State1","Progestin only (POP)",2015,"February",128854
"State1","Progestin only (POP)",2015,"March",131122
"State1","Progestin only (POP)",2015,"April",130640
"State1","Progestin only (POP)",2015,"May",134967
"State1","Progestin only (POP)",2015,"June",128436
"State1","Progestin only (POP)",2015,"July",132207
"State1","Progestin only (POP)",2015,"August",132772
"State1","Progestin only (POP)",2015,"September",135345
"State1","Progestin only (POP)",2015,"October",131200
"State1","Progestin only (POP)",2015,"November",132282
"State1","Progestin only (POP)",2015,"December",134563
"State1","Sayana Press",2015,"January",0
"State1","Sayana Press",2015,"February",0
"State1","Sayana Press",2015,"March",0
"State1","Sayana Press",2015,"April",0
"State1","Sayana Press",2015,"May",0
"State1","Sayana Press",2015,"June",0
"State1","Sayana Press",2015,"July",0
"State1","Sayana Press",2015,"August",0
"State1","Sayana Press",2015,"September",0
"State1","Sayana Press",2015,"October",0
"State1","Sayana Press",2015,"November",0
"State1","Sayana Press",2015,"December",0
"State1","SDM (Standard Days)",2015,"January",0
"State1","SDM (Standard Days)",2015,"February",0
"State1","SDM (Standard Days)",2015,"March",0
"State1","SDM (Standard Days)",2015,"April",0
"State1","SDM (Standard Days)",2015,"May",0
"State1","SDM (Standard Days)",2015,"June",0
"State1","SDM (Standard Days)",2015,"July",0
"State1","SDM (Standard Days)",2015,"August",0
"State1","SDM (Standard Days)",2015,"September",0
"State1","SDM (Standard Days)",2015,"October",0
"State1","SDM (Standard Days)",2015,"November",0
"State1","SDM (Standard Days)",2015,"December",0
"State1","Sino-Implant",2015,"January",0
"State1","Sino-Implant",2015,"February",0
"State1","Sino-Implant",2015,"March",0
"State1","Sino-Implant",2015,"April",0
"State1","Sino-Implant",2015,"May",0
"State1","Sino-Implant",2015,"June",0
"State1","Sino-Implant",2015,"July",0
"State1","Sino-Implant",2015,"August",0
"State1","Sino-Implant",2015,"September",0
"State1","Sino-Implant",2015,"October",0
"State1","Sino-Implant",2015,"November",0
"State1","Sino-Implant",2015,"December",0
"State1","Spermicides",2015,"January",747
"State1","Spermicides",2015,"February",798
"State1","Spermicides",2015,"March",783
"State1","Spermicides",2015,"April",771
"State1","Spermicides",2015,"May",788
"State1","Spermicides",2015,"June",756
"State1","Spermicides",2015,"July",757
"State1","Spermicides",2015,"August",777
"State1","Spermicides",2015,"September",763
"State1","Spermicides",2015,"October",792
"State1","Spermicides",2015,"November",769
"State1","Spermicides",2015,"December",774
"State1","Tubal Ligation (F)",2015,"January",385
"State1","Tubal Ligation (F)",2015,"February",379
"State1","Tubal Ligation (F)",2015,"March",389
"State1","Tubal Ligation (F)",2015,"April",367
"State1","Tubal Ligation (F)",2015,"May",385
"State1","Tubal Ligation (F)",2015,"June",377
"State1","Tubal Ligation (F)",2015,"July",371
"State1","Tubal Ligation (F)",2015,"August",386
"State1","Tubal Ligation (F)",2015,"September",371
"State1","Tubal Ligation (F)",2015,"October",386
"State1","Tubal Ligation (F)",2015,"November",370
"State1","Tubal Ligation (F)",2015,"December",370
"State1","Vaginal barrier",2015,"January",28
"State1","Vaginal barrier",2015,"February",27
"State1","Vaginal barrier",2015,"March",27
"State1","Vaginal barrier",2015,"April",27
"State1","Vaginal barrier",2015,"May",27
"State1","Vaginal barrier",2015,"June",27
"State1","Vaginal barrier",2015,"July",28
"State1","Vaginal barrier",2015,"August",29
"State1","Vaginal barrier",2015,"September",29
"State1","Vaginal barrier",2015,"October",28
"State1","Vaginal barrier",2015,"November",27
"State1","Vaginal barrier",2015,"December",29
"State1","Vasectomy (M)",2015,"January",155
"State1","Vasectomy (M)",2015,"February",151
"State1","Vasectomy (M)",2015,"March",147
"State1","Vasectomy (M)",2015,"April",147
"State1","Vasectomy (M)",2015,"May",151
"State1","Vasectomy (M)",2015,"June",157
"State1","Vasectomy (M)",2015,"July",151
"State1","Vasectomy (M)",2015,"August",144
"State1","Vasectomy (M)",2015,"September",142
"State1","Vasectomy (M)",2015,"October",147
"State1","Vasectomy (M)",2015,"November",152
"State1","Vasectomy (M)",2015,"December",148
"State1","Combined Oral (COC)",2016,"January",410301
"State1","Combined Oral (COC)",2016,"February",428686
"State1","Combined Oral (COC)",2016,"March",430052
"State1","Combined Oral (COC)",2016,"April",417441
"State1","Combined Oral (COC)",2016,"May",413729
"State1","Combined Oral (COC)",2016,"June",426698
"State1","Combined Oral (COC)",2016,"July",400856
"State1","Combined Oral (COC)",2016,"August",431249
"State1","Combined Oral (COC)",2016,"September",423750
"State1","Combined Oral (COC)",2016,"October",406028
"State1","Combined Oral (COC)",2016,"November",418060
"State1","Combined Oral (COC)",2016,"December",407833
"State1","Copper- T 380-A IUD",2016,"January",1699
"State1","Copper- T 380-A IUD",2016,"February",1715
"State1","Copper- T 380-A IUD",2016,"March",1646
"State1","Copper- T 380-A IUD",2016,"April",1697
"State1","Copper- T 380-A IUD",2016,"May",1657
"State1","Copper- T 380-A IUD",2016,"June",1745
"State1","Copper- T 380-A IUD",2016,"July",1653
"State1","Copper- T 380-A IUD",2016,"August",1713
"State1","Copper- T 380-A IUD",2016,"September",1710
"State1","Copper- T 380-A IUD",2016,"October",1638
"State1","Copper- T 380-A IUD",2016,"November",1637
"State1","Copper- T 380-A IUD",2016,"December",1668
"State1","Depo Provera (DMPA)",2016,"January",97274
"State1","Depo Provera (DMPA)",2016,"February",99068
"State1","Depo Provera (DMPA)",2016,"March",96674
"State1","Depo Provera (DMPA)",2016,"April",101559
"State1","Depo Provera (DMPA)",2016,"May",99323
"State1","Depo Provera (DMPA)",2016,"June",94697
"State1","Depo Provera (DMPA)",2016,"July",101567
"State1","Depo Provera (DMPA)",2016,"August",99784
"State1","Depo Provera (DMPA)",2016,"September",99914
"State1","Depo Provera (DMPA)",2016,"October",99240
"State1","Depo Provera (DMPA)",2016,"November",95599
"State1","Depo Provera (DMPA)",2016,"December",102759
"State1","EC",2016,"January",16878
"State1","EC",2016,"February",17745
"State1","EC",2016,"March",17677
"State1","EC",2016,"April",16721
"State1","EC",2016,"May",16520
"State1","EC",2016,"June",16452
"State1","EC",2016,"July",17404
"State1","EC",2016,"August",18103
"State1","EC",2016,"September",17219
"State1","EC",2016,"October",16946
"State1","EC",2016,"November",17902
"State1","EC",2016,"December",18170
"State1","Female Condom",2016,"January",107081
"State1","Female Condom",2016,"February",105263
"State1","Female Condom",2016,"March",111699
"State1","Female Condom",2016,"April",111889
"State1","Female Condom",2016,"May",103919
"State1","Female Condom",2016,"June",108203
"State1","Female Condom",2016,"July",106112
"State1","Female Condom",2016,"August",110130
"State1","Female Condom",2016,"September",111536
"State1","Female Condom",2016,"October",103684
"State1","Female Condom",2016,"November",103824
"State1","Female Condom",2016,"December",109328
"State1","Implanon",2016,"January",2626
"State1","Implanon",2016,"February",2522
"State1","Implanon",2016,"March",2695
"State1","Implanon",2016,"April",2538
"State1","Implanon",2016,"May",2674
"State1","Implanon",2016,"June",2565
"State1","Implanon",2016,"July",2609
"State1","Implanon",2016,"August",2583
"State1","Implanon",2016,"September",2592
"State1","Implanon",2016,"October",2631
"State1","Implanon",2016,"November",2531
"State1","Implanon",2016,"December",2608
"State1","Jadelle",2016,"January",7355
"State1","Jadelle",2016,"February",7554
"State1","Jadelle",2016,"March",7277
"State1","Jadelle",2016,"April",7479
"State1","Jadelle",2016,"May",7246
"State1","Jadelle",2016,"June",7326
"State1","Jadelle",2016,"July",7292
"State1","Jadelle",2016,"August",7249
"State1","Jadelle",2016,"September",7409
"State1","Jadelle",2016,"October",7534
"State1","Jadelle",2016,"November",7324
"State1","Jadelle",2016,"December",7186
"State1","LAM",2016,"January",7141
"State1","LAM",2016,"February",7282
"State1","LAM",2016,"March",6828
"State1","LAM",2016,"April",7098
"State1","LAM",2016,"May",6630
"State1","LAM",2016,"June",6652
"State1","LAM",2016,"July",6644
"State1","LAM",2016,"August",7297
"State1","LAM",2016,"September",6786
"State1","LAM",2016,"October",7274
"State1","LAM",2016,"November",6994
"State1","LAM",2016,"December",6933
"State1","LNG-IUS",2016,"January",0
"State1","LNG-IUS",2016,"February",0
"State1","LNG-IUS",2016,"March",0
"State1","LNG-IUS",2016,"April",0
"State1","LNG-IUS",2016,"May",0
"State1","LNG-IUS",2016,"June",0
"State1","LNG-IUS",2016,"July",0
"State1","LNG-IUS",2016,"August",0
"State1","LNG-IUS",2016,"September",0
"State1","LNG-IUS",2016,"October",0
"State1","LNG-IUS",2016,"November",0
"State1","LNG-IUS",2016,"December",0
"State1","Lunelle",2016,"January",0
"State1","Lunelle",2016,"February",0
"State1","Lunelle",2016,"March",0
"State1","Lunelle",2016,"April",0
"State1","Lunelle",2016,"May",0
"State1","Lunelle",2016,"June",0
"State1","Lunelle",2016,"July",0
"State1","Lunelle",2016,"August",0
"State1","Lunelle",2016,"September",0
"State1","Lunelle",2016,"October",0
"State1","Lunelle",2016,"November",0
"State1","Lunelle",2016,"December",0
"State1","Male Condom",2016,"January",3546129
"State1","Male Condom",2016,"February",3468845
"State1","Male Condom",2016,"March",3478413
"State1","Male Condom",2016,"April",3315593
"State1","Male Condom",2016,"May",3409449
"State1","Male Condom",2016,"June",3426548
"State1","Male Condom",2016,"July",3438818
"State1","Male Condom",2016,"August",3508053
"State1","Male Condom",2016,"September",3386354
"State1","Male Condom",2016,"October",3389682
"State1","Male Condom",2016,"November",3543930
"State1","Male Condom",2016,"December",3463223
"State1","Noristerat (NET-En)",2016,"January",7217
"State1","Noristerat (NET-En)",2016,"February",6587
"State1","Noristerat (NET-En)",2016,"March",6880
"State1","Noristerat (NET-En)",2016,"April",6945
"State1","Noristerat (NET-En)",2016,"May",7226
"State1","Noristerat (NET-En)",2016,"June",7012
"State1","Noristerat (NET-En)",2016,"July",6577
"State1","Noristerat (NET-En)",2016,"August",6792
"State1","Noristerat (NET-En)",2016,"September",6858
"State1","Noristerat (NET-En)",2016,"October",6924
"State1","Noristerat (NET-En)",2016,"November",6923
"State1","Noristerat (NET-En)",2016,"December",6879
"State1","Other Injectable",2016,"January",0
"State1","Other Injectable",2016,"February",0
"State1","Other Injectable",2016,"March",0
"State1","Other Injectable",2016,"April",0
"State1","Other Injectable",2016,"May",0
"State1","Other Injectable",2016,"June",0
"State1","Other Injectable",2016,"July",0
"State1","Other Injectable",2016,"August",0
"State1","Other Injectable",2016,"September",0
"State1","Other Injectable",2016,"October",0
"State1","Other Injectable",2016,"November",0
"State1","Other Injectable",2016,"December",0
"State1","Other OC Pill",2016,"January",0
"State1","Other OC Pill",2016,"February",0
"State1","Other OC Pill",2016,"March",0
"State1","Other OC Pill",2016,"April",0
"State1","Other OC Pill",2016,"May",0
"State1","Other OC Pill",2016,"June",0
"State1","Other OC Pill",2016,"July",0
"State1","Other OC Pill",2016,"August",0
"State1","Other OC Pill",2016,"September",0
"State1","Other OC Pill",2016,"October",0
"State1","Other OC Pill",2016,"November",0
"State1","Other OC Pill",2016,"December",0
"State1","Progestin only (POP)",2016,"January",128666
"State1","Progestin only (POP)",2016,"February",134913
"State1","Progestin only (POP)",2016,"March",137897
"State1","Progestin only (POP)",2016,"April",130593
"State1","Progestin only (POP)",2016,"May",137595
"State1","Progestin only (POP)",2016,"June",137401
"State1","Progestin only (POP)",2016,"July",128266
"State1","Progestin only (POP)",2016,"August",134549
"State1","Progestin only (POP)",2016,"September",135464
"State1","Progestin only (POP)",2016,"October",131676
"State1","Progestin only (POP)",2016,"November",131286
"State1","Progestin only (POP)",2016,"December",128572
"State1","Sayana Press",2016,"January",80
"State1","Sayana Press",2016,"February",83
"State1","Sayana Press",2016,"March",80
"State1","Sayana Press",2016,"April",84
"State1","Sayana Press",2016,"May",81
"State1","Sayana Press",2016,"June",85
"State1","Sayana Press",2016,"July",79
"State1","Sayana Press",2016,"August",83
"State1","Sayana Press",2016,"September",82
"State1","Sayana Press",2016,"October",84
"State1","Sayana Press",2016,"November",80
"State1","Sayana Press",2016,"December",82
"State1","SDM (Standard Days)",2016,"January",9
"State1","SDM (Standard Days)",2016,"February",9
"State1","SDM (Standard Days)",2016,"March",9
"State1","SDM (Standard Days)",2016,"April",10
"State1","SDM (Standard Days)",2016,"May",9
"State1","SDM (Standard Days)",2016,"June",10
"State1","SDM (Standard Days)",2016,"July",9
"State1","SDM (Standard Days)",2016,"August",9
"State1","SDM (Standard Days)",2016,"September",9
"State1","SDM (Standard Days)",2016,"October",9
"State1","SDM (Standard Days)",2016,"November",9
"State1","SDM (Standard Days)",2016,"December",10
"State1","Sino-Implant",2016,"January",0
"State1","Sino-Implant",2016,"February",0
"State1","Sino-Implant",2016,"March",0
"State1","Sino-Implant",2016,"April",0
"State1","Sino-Implant",2016,"May",0
"State1","Sino-Implant",2016,"June",0
"State1","Sino-Implant",2016,"July",0
"State1","Sino-Implant",2016,"August",0
"State1","Sino-Implant",2016,"September",0
"State1","Sino-Implant",2016,"October",0
"State1","Sino-Implant",2016,"November",0
"State1","Sino-Implant",2016,"December",0
"State1","Spermicides",2016,"January",1102
"State1","Spermicides",2016,"February",1112
"State1","Spermicides",2016,"March",1106
"State1","Spermicides",2016,"April",1071
"State1","Spermicides",2016,"May",1067
"State1","Spermicides",2016,"June",1061
"State1","Spermicides",2016,"July",1081
"State1","Spermicides",2016,"August",1107
"State1","Spermicides",2016,"September",1066
"State1","Spermicides",2016,"October",1053
"State1","Spermicides",2016,"November",1119
"State1","Spermicides",2016,"December",1092
"State1","Tubal Ligation (F)",2016,"January",557
"State1","Tubal Ligation (F)",2016,"February",554
"State1","Tubal Ligation (F)",2016,"March",544
"State1","Tubal Ligation (F)",2016,"April",550
"State1","Tubal Ligation (F)",2016,"May",523
"State1","Tubal Ligation (F)",2016,"June",541
"State1","Tubal Ligation (F)",2016,"July",575
"State1","Tubal Ligation (F)",2016,"August",547
"State1","Tubal Ligation (F)",2016,"September",543
"State1","Tubal Ligation (F)",2016,"October",556
"State1","Tubal Ligation (F)",2016,"November",541
"State1","Tubal Ligation (F)",2016,"December",554
"State1","Vaginal barrier",2016,"January",0
"State1","Vaginal barrier",2016,"February",0
"State1","Vaginal barrier",2016,"March",0
"State1","Vaginal barrier",2016,"April",0
"State1","Vaginal barrier",2016,"May",0
"State1","Vaginal barrier",2016,"June",0
"State1","Vaginal barrier",2016,"July",0
"State1","Vaginal barrier",2016,"August",0
"State1","Vaginal barrier",2016,"September",0
"State1","Vaginal barrier",2016,"October",0
"State1","Vaginal barrier",2016,"November",0
"State1","Vaginal barrier",2016,"December",0
"State1","Vasectomy (M)",2016,"January",175
"State1","Vasectomy (M)",2016,"February",179
"State1","Vasectomy (M)",2016,"March",170
"State1","Vasectomy (M)",2016,"April",163
"State1","Vasectomy (M)",2016,"May",174
"State1","Vasectomy (M)",2016,"June",164
"State1","Vasectomy (M)",2016,"July",168
"State1","Vasectomy (M)",2016,"August",174
"State1","Vasectomy (M)",2016,"September",173
"State1","Vasectomy (M)",2016,"October",169
"State1","Vasectomy (M)",2016,"November",169
"State1","Vasectomy (M)",2016,"December",180
"State1","Combined Oral (COC)",2017,"January",429425
"State1","Combined Oral (COC)",2017,"February",427226
"State1","Combined Oral (COC)",2017,"March",430169
"State1","Combined Oral (COC)",2017,"April",415047
"State1","Combined Oral (COC)",2017,"May",437224
"State1","Combined Oral (COC)",2017,"June",435773
"State1","Combined Oral (COC)",2017,"July",423010
"State1","Combined Oral (COC)",2017,"August",441738
"State1","Combined Oral (COC)",2017,"September",427986
"State1","Combined Oral (COC)",2017,"October",433842
"State1","Combined Oral (COC)",2017,"November",429153
"State1","Combined Oral (COC)",2017,"December",430809
"State1","Copper- T 380-A IUD",2017,"January",2404
"State1","Copper- T 380-A IUD",2017,"February",2399
"State1","Copper- T 380-A IUD",2017,"March",2495
"State1","Copper- T 380-A IUD",2017,"April",2554
"State1","Copper- T 380-A IUD",2017,"May",2457
"State1","Copper- T 380-A IUD",2017,"June",2475
"State1","Copper- T 380-A IUD",2017,"July",2464
"State1","Copper- T 380-A IUD",2017,"August",2404
"State1","Copper- T 380-A IUD",2017,"September",2337
"State1","Copper- T 380-A IUD",2017,"October",2476
"State1","Copper- T 380-A IUD",2017,"November",2421
"State1","Copper- T 380-A IUD",2017,"December",2497
"State1","Depo Provera (DMPA)",2017,"January",114265
"State1","Depo Provera (DMPA)",2017,"February",114833
"State1","Depo Provera (DMPA)",2017,"March",111412
"State1","Depo Provera (DMPA)",2017,"April",115408
"State1","Depo Provera (DMPA)",2017,"May",110112
"State1","Depo Provera (DMPA)",2017,"June",112950
"State1","Depo Provera (DMPA)",2017,"July",109521
"State1","Depo Provera (DMPA)",2017,"August",112253
"State1","Depo Provera (DMPA)",2017,"September",111276
"State1","Depo Provera (DMPA)",2017,"October",112576
"State1","Depo Provera (DMPA)",2017,"November",110660
"State1","Depo Provera (DMPA)",2017,"December",110738
"State1","EC",2017,"January",22171
"State1","EC",2017,"February",22026
"State1","EC",2017,"March",22102
"State1","EC",2017,"April",21365
"State1","EC",2017,"May",20752
"State1","EC",2017,"June",20400
"State1","EC",2017,"July",21809
"State1","EC",2017,"August",21108
"State1","EC",2017,"September",21470
"State1","EC",2017,"October",21246
"State1","EC",2017,"November",20556
"State1","EC",2017,"December",20424
"State1","Female Condom",2017,"January",129965
"State1","Female Condom",2017,"February",136898
"State1","Female Condom",2017,"March",129013
"State1","Female Condom",2017,"April",128858
"State1","Female Condom",2017,"May",135470
"State1","Female Condom",2017,"June",134919
"State1","Female Condom",2017,"July",127117
"State1","Female Condom",2017,"August",134407
"State1","Female Condom",2017,"September",135149
"State1","Female Condom",2017,"October",137106
"State1","Female Condom",2017,"November",129167
"State1","Female Condom",2017,"December",127321
"State1","Implanon",2017,"January",4692
"State1","Implanon",2017,"February",4505
"State1","Implanon",2017,"March",4297
"State1","Implanon",2017,"April",4686
"State1","Implanon",2017,"May",4302
"State1","Implanon",2017,"June",4327
"State1","Implanon",2017,"July",4385
"State1","Implanon",2017,"August",4301
"State1","Implanon",2017,"September",4572
"State1","Implanon",2017,"October",4659
"State1","Implanon",2017,"November",4469
"State1","Implanon",2017,"December",4650
"State1","Jadelle",2017,"January",10347
"State1","Jadelle",2017,"February",10329
"State1","Jadelle",2017,"March",10043
"State1","Jadelle",2017,"April",10369
"State1","Jadelle",2017,"May",10388
"State1","Jadelle",2017,"June",10679
"State1","Jadelle",2017,"July",10052
"State1","Jadelle",2017,"August",10612
"State1","Jadelle",2017,"September",10269
"State1","Jadelle",2017,"October",9984
"State1","Jadelle",2017,"November",10387
"State1","Jadelle",2017,"December",9874
"State1","LAM",2017,"January",8791
"State1","LAM",2017,"February",9199
"State1","LAM",2017,"March",9349
"State1","LAM",2017,"April",8663
"State1","LAM",2017,"May",9222
"State1","LAM",2017,"June",8760
"State1","LAM",2017,"July",9252
"State1","LAM",2017,"August",9221
"State1","LAM",2017,"September",8813
"State1","LAM",2017,"October",8770
"State1","LAM",2017,"November",9242
"State1","LAM",2017,"December",8790
"State1","LNG-IUS",2017,"January",0
"State1","LNG-IUS",2017,"February",0
"State1","LNG-IUS",2017,"March",0
"State1","LNG-IUS",2017,"April",0
"State1","LNG-IUS",2017,"May",0
"State1","LNG-IUS",2017,"June",0
"State1","LNG-IUS",2017,"July",0
"State1","LNG-IUS",2017,"August",0
"State1","LNG-IUS",2017,"September",0
"State1","LNG-IUS",2017,"October",0
"State1","LNG-IUS",2017,"November",0
"State1","LNG-IUS",2017,"December",0
"State1","Lunelle",2017,"January",0
"State1","Lunelle",2017,"February",0
"State1","Lunelle",2017,"March",0
"State1","Lunelle",2017,"April",0
"State1","Lunelle",2017,"May",0
"State1","Lunelle",2017,"June",0
"State1","Lunelle",2017,"July",0
"State1","Lunelle",2017,"August",0
"State1","Lunelle",2017,"September",0
"State1","Lunelle",2017,"October",0
"State1","Lunelle",2017,"November",0
"State1","Lunelle",2017,"December",0
"State1","Male Condom",2017,"January",4261794
"State1","Male Condom",2017,"February",4111727
"State1","Male Condom",2017,"March",4254120
"State1","Male Condom",2017,"April",4218357
"State1","Male Condom",2017,"May",3997587
"State1","Male Condom",2017,"June",4178832
"State1","Male Condom",2017,"July",4050293
"State1","Male Condom",2017,"August",4055428
"State1","Male Condom",2017,"September",3991868
"State1","Male Condom",2017,"October",4015423
"State1","Male Condom",2017,"November",4069339
"State1","Male Condom",2017,"December",4200793
"State1","Noristerat (NET-En)",2017,"January",7785
"State1","Noristerat (NET-En)",2017,"February",7787
"State1","Noristerat (NET-En)",2017,"March",7498
"State1","Noristerat (NET-En)",2017,"April",7850
"State1","Noristerat (NET-En)",2017,"May",7750
"State1","Noristerat (NET-En)",2017,"June",7579
"State1","Noristerat (NET-En)",2017,"July",7727
"State1","Noristerat (NET-En)",2017,"August",8039
"State1","Noristerat (NET-En)",2017,"September",8067
"State1","Noristerat (NET-En)",2017,"October",7711
"State1","Noristerat (NET-En)",2017,"November",7890
"State1","Noristerat (NET-En)",2017,"December",7764
