"Region","Method","Year","Month","Value"
"Alexandria","LAM",2015,"September",7850
"Alexandria","LAM",2015,"October",7262
"Alexandria","LAM",2015,"November",7585
"Alexandria","LAM",2015,"December",7363
"Alexandria","LNG-IUS",2015,"January",0
"Alexandria","LNG-IUS",2015,"February",0
"Alexandria","LNG-IUS",2015,"March",0
"Alexandria","LNG-IUS",2015,"April",0
"Alexandria","LNG-IUS",2015,"May",0
"Alexandria","LNG-IUS",2015,"June",0
"Alexandria","LNG-IUS",2015,"July",0
"Alexandria","LNG-IUS",2015,"August",0
"Alexandria","LNG-IUS",2015,"September",0
"Alexandria","LNG-IUS",2015,"October",0
"Alexandria","LNG-IUS",2015,"November",0
"Alexandria","LNG-IUS",2015,"December",0
"Alexandria","Lunelle",2015,"January",0
"Alexandria","Lunelle",2015,"February",0
"Alexandria","Lunelle",2015,"March",0
"Alexandria","Lunelle",2015,"April",0
"Alexandria","Lunelle",2015,"May",0
"Alexandria","Lunelle",2015,"June",0
"Alexandria","Lunelle",2015,"July",0
"Alexandria","Lunelle",2015,"August",0
"Alexandria","Lunelle",2015,"September",0
"Alexandria","Lunelle",2015,"October",0
"Alexandria","Lunelle",2015,"November",0
"Alexandria","Lunelle",2015,"December",0
"Alexandria","Male Condom",2015,"January",1285803
"Alexandria","Male Condom",2015,"February",1407414
"Alexandria","Male Condom",2015,"March",1374895
"Alexandria","Male Condom",2015,"April",1312264
"Alexandria","Male Condom",2015,"May",1335129
"Alexandria","Male Condom",2015,"June",1389897
"Alexandria","Male Condom",2015,"July",1380953
"Alexandria","Male Condom",2015,"August",1382383
"Alexandria","Male Condom",2015,"September",1303320
"Alexandria","Male Condom",2015,"October",1310834
"Alexandria","Male Condom",2015,"November",1318322
"Alexandria","Male Condom",2015,"December",1358088
"Alexandria","Noristerat (NET-En)",2015,"January",2911
"Alexandria","Noristerat (NET-En)",2015,"February",2904
"Alexandria","Noristerat (NET-En)",2015,"March",3083
"Alexandria","Noristerat (NET-En)",2015,"April",2981
"Alexandria","Noristerat (NET-En)",2015,"May",3070
"Alexandria","Noristerat (NET-En)",2015,"June",2995
"Alexandria","Noristerat (NET-En)",2015,"July",2894
"Alexandria","Noristerat (NET-En)",2015,"August",2984
"Alexandria","Noristerat (NET-En)",2015,"September",3153
"Alexandria","Noristerat (NET-En)",2015,"October",3081
"Alexandria","Noristerat (NET-En)",2015,"November",3171
"Alexandria","Noristerat (NET-En)",2015,"December",3160
"Alexandria","Other Injectable",2015,"January",0
"Alexandria","Other Injectable",2015,"February",0
"Alexandria","Other Injectable",2015,"March",0
"Alexandria","Other Injectable",2015,"April",0
"Alexandria","Other Injectable",2015,"May",0
"Alexandria","Other Injectable",2015,"June",0
"Alexandria","Other Injectable",2015,"July",0
"Alexandria","Other Injectable",2015,"August",0
"Alexandria","Other Injectable",2015,"September",0
"Alexandria","Other Injectable",2015,"October",0
"Alexandria","Other Injectable",2015,"November",0
"Alexandria","Other Injectable",2015,"December",0
"Alexandria","Other OC Pill",2015,"January",0
"Alexandria","Other OC Pill",2015,"February",0
"Alexandria","Other OC Pill",2015,"March",0
"Alexandria","Other OC Pill",2015,"April",0
"Alexandria","Other OC Pill",2015,"May",0
"Alexandria","Other OC Pill",2015,"June",0
"Alexandria","Other OC Pill",2015,"July",0
"Alexandria","Other OC Pill",2015,"August",0
"Alexandria","Other OC Pill",2015,"September",0
"Alexandria","Other OC Pill",2015,"October",0
"Alexandria","Other OC Pill",2015,"November",0
"Alexandria","Other OC Pill",2015,"December",0
"Alexandria","Progestin only (POP)",2015,"January",157
"Alexandria","Progestin only (POP)",2015,"February",154
"Alexandria","Progestin only (POP)",2015,"March",149
"Alexandria","Progestin only (POP)",2015,"April",146
"Alexandria","Progestin only (POP)",2015,"May",143
"Alexandria","Progestin only (POP)",2015,"June",151
"Alexandria","Progestin only (POP)",2015,"July",150
"Alexandria","Progestin only (POP)",2015,"August",157
"Alexandria","Progestin only (POP)",2015,"September",143
"Alexandria","Progestin only (POP)",2015,"October",148
"Alexandria","Progestin only (POP)",2015,"November",146
"Alexandria","Progestin only (POP)",2015,"December",154
"Alexandria","Sayana Press",2015,"January",0
"Alexandria","Sayana Press",2015,"February",0
"Alexandria","Sayana Press",2015,"March",0
"Alexandria","Sayana Press",2015,"April",0
"Alexandria","Sayana Press",2015,"May",0
"Alexandria","Sayana Press",2015,"June",0
"Alexandria","Sayana Press",2015,"July",0
"Alexandria","Sayana Press",2015,"August",0
"Alexandria","Sayana Press",2015,"September",0
"Alexandria","Sayana Press",2015,"October",0
"Alexandria","Sayana Press",2015,"November",0
"Alexandria","Sayana Press",2015,"December",0
"Alexandria","SDM (Standard Days)",2015,"January",0
"Alexandria","SDM (Standard Days)",2015,"February",0
"Alexandria","SDM (Standard Days)",2015,"March",0
"Alexandria","SDM (Standard Days)",2015,"April",0
"Alexandria","SDM (Standard Days)",2015,"May",0
"Alexandria","SDM (Standard Days)",2015,"June",0
"Alexandria","SDM (Standard Days)",2015,"July",0
"Alexandria","SDM (Standard Days)",2015,"August",0
"Alexandria","SDM (Standard Days)",2015,"September",0
"Alexandria","SDM (Standard Days)",2015,"October",0
"Alexandria","SDM (Standard Days)",2015,"November",0
"Alexandria","SDM (Standard Days)",2015,"December",0
"Alexandria","Sino-Implant",2015,"January",0
"Alexandria","Sino-Implant",2015,"February",0
"Alexandria","Sino-Implant",2015,"March",0
"Alexandria","Sino-Implant",2015,"April",0
"Alexandria","Sino-Implant",2015,"May",0
"Alexandria","Sino-Implant",2015,"June",0
"Alexandria","Sino-Implant",2015,"July",0
"Alexandria","Sino-Implant",2015,"August",0
"Alexandria","Sino-Implant",2015,"September",0
"Alexandria","Sino-Implant",2015,"October",0
"Alexandria","Sino-Implant",2015,"November",0
"Alexandria","Sino-Implant",2015,"December",0
"Alexandria","Spermicides",2015,"January",723
"Alexandria","Spermicides",2015,"February",776
"Alexandria","Spermicides",2015,"March",760
"Alexandria","Spermicides",2015,"April",749
"Alexandria","Spermicides",2015,"May",766
"Alexandria","Spermicides",2015,"June",732
"Alexandria","Spermicides",2015,"July",733
"Alexandria","Spermicides",2015,"August",754
"Alexandria","Spermicides",2015,"September",740
"Alexandria","Spermicides",2015,"October",768
"Alexandria","Spermicides",2015,"November",745
"Alexandria","Spermicides",2015,"December",750
"Alexandria","Tubal Ligation (F)",2015,"January",385
"Alexandria","Tubal Ligation (F)",2015,"February",379
"Alexandria","Tubal Ligation (F)",2015,"March",389
"Alexandria","Tubal Ligation (F)",2015,"April",367
"Alexandria","Tubal Ligation (F)",2015,"May",385
"Alexandria","Tubal Ligation (F)",2015,"June",377
"Alexandria","Tubal Ligation (F)",2015,"July",371
"Alexandria","Tubal Ligation (F)",2015,"August",386
"Alexandria","Tubal Ligation (F)",2015,"September",371
"Alexandria","Tubal Ligation (F)",2015,"October",386
"Alexandria","Tubal Ligation (F)",2015,"November",370
"Alexandria","Tubal Ligation (F)",2015,"December",370
"Alexandria","Vaginal barrier",2015,"January",0
"Alexandria","Vaginal barrier",2015,"February",0
"Alexandria","Vaginal barrier",2015,"March",0
"Alexandria","Vaginal barrier",2015,"April",0
"Alexandria","Vaginal barrier",2015,"May",0
"Alexandria","Vaginal barrier",2015,"June",0
"Alexandria","Vaginal barrier",2015,"July",0
"Alexandria","Vaginal barrier",2015,"August",0
"Alexandria","Vaginal barrier",2015,"September",0
"Alexandria","Vaginal barrier",2015,"October",0
"Alexandria","Vaginal barrier",2015,"November",0
"Alexandria","Vaginal barrier",2015,"December",0
"Alexandria","Vasectomy (M)",2015,"January",155
"Alexandria","Vasectomy (M)",2015,"February",151
"Alexandria","Vasectomy (M)",2015,"March",147
"Alexandria","Vasectomy (M)",2015,"April",147
"Alexandria","Vasectomy (M)",2015,"May",151
"Alexandria","Vasectomy (M)",2015,"June",157
"Alexandria","Vasectomy (M)",2015,"July",151
"Alexandria","Vasectomy (M)",2015,"August",144
"Alexandria","Vasectomy (M)",2015,"September",142
"Alexandria","Vasectomy (M)",2015,"October",147
"Alexandria","Vasectomy (M)",2015,"November",152
"Alexandria","Vasectomy (M)",2015,"December",148
"Alexandria","Combined Oral (COC)",2016,"January",104344
"Alexandria","Combined Oral (COC)",2016,"February",110699
"Alexandria","Combined Oral (COC)",2016,"March",110999
"Alexandria","Combined Oral (COC)",2016,"April",110869
"Alexandria","Combined Oral (COC)",2016,"May",111149
"Alexandria","Combined Oral (COC)",2016,"June",112088
"Alexandria","Combined Oral (COC)",2016,"July",104215
"Alexandria","Combined Oral (COC)",2016,"August",107323
"Alexandria","Combined Oral (COC)",2016,"September",103125
"Alexandria","Combined Oral (COC)",2016,"October",104514
"Alexandria","Combined Oral (COC)",2016,"November",104065
"Alexandria","Combined Oral (COC)",2016,"December",107891
"Alexandria","Copper- T 380-A IUD",2016,"January",1248
"Alexandria","Copper- T 380-A IUD",2016,"February",1289
"Alexandria","Copper- T 380-A IUD",2016,"March",1213
"Alexandria","Copper- T 380-A IUD",2016,"April",1269
"Alexandria","Copper- T 380-A IUD",2016,"May",1233
"Alexandria","Copper- T 380-A IUD",2016,"June",1309
"Alexandria","Copper- T 380-A IUD",2016,"July",1236
"Alexandria","Copper- T 380-A IUD",2016,"August",1266
"Alexandria","Copper- T 380-A IUD",2016,"September",1300
"Alexandria","Copper- T 380-A IUD",2016,"October",1201
"Alexandria","Copper- T 380-A IUD",2016,"November",1193
"Alexandria","Copper- T 380-A IUD",2016,"December",1254
"Alexandria","Depo Provera (DMPA)",2016,"January",50604
"Alexandria","Depo Provera (DMPA)",2016,"February",49681
"Alexandria","Depo Provera (DMPA)",2016,"March",49282
"Alexandria","Depo Provera (DMPA)",2016,"April",51414
"Alexandria","Depo Provera (DMPA)",2016,"May",48772
"Alexandria","Depo Provera (DMPA)",2016,"June",48433
"Alexandria","Depo Provera (DMPA)",2016,"July",52214
"Alexandria","Depo Provera (DMPA)",2016,"August",52322
"Alexandria","Depo Provera (DMPA)",2016,"September",50491
"Alexandria","Depo Provera (DMPA)",2016,"October",51812
"Alexandria","Depo Provera (DMPA)",2016,"November",48881
"Alexandria","Depo Provera (DMPA)",2016,"December",52662
"Alexandria","EC",2016,"January",16878
"Alexandria","EC",2016,"February",17745
"Alexandria","EC",2016,"March",17677
"Alexandria","EC",2016,"April",16721
"Alexandria","EC",2016,"May",16520
"Alexandria","EC",2016,"June",16452
"Alexandria","EC",2016,"July",17404
"Alexandria","EC",2016,"August",18103
"Alexandria","EC",2016,"September",17219
"Alexandria","EC",2016,"October",16946
"Alexandria","EC",2016,"November",17902
"Alexandria","EC",2016,"December",18170
"Alexandria","Female Condom",2016,"January",4206
"Alexandria","Female Condom",2016,"February",4103
"Alexandria","Female Condom",2016,"March",4380
"Alexandria","Female Condom",2016,"April",4292
"Alexandria","Female Condom",2016,"May",4189
"Alexandria","Female Condom",2016,"June",4028
"Alexandria","Female Condom",2016,"July",4024
"Alexandria","Female Condom",2016,"August",4241
"Alexandria","Female Condom",2016,"September",4015
"Alexandria","Female Condom",2016,"October",4155
"Alexandria","Female Condom",2016,"November",4371
"Alexandria","Female Condom",2016,"December",4367
"Alexandria","Implanon",2016,"January",1165
"Alexandria","Implanon",2016,"February",1096
"Alexandria","Implanon",2016,"March",1185
"Alexandria","Implanon",2016,"April",1117
"Alexandria","Implanon",2016,"May",1164
"Alexandria","Implanon",2016,"June",1152
"Alexandria","Implanon",2016,"July",1115
"Alexandria","Implanon",2016,"August",1094
"Alexandria","Implanon",2016,"September",1187
"Alexandria","Implanon",2016,"October",1129
"Alexandria","Implanon",2016,"November",1126
"Alexandria","Implanon",2016,"December",1154
"Alexandria","Jadelle",2016,"January",4174
"Alexandria","Jadelle",2016,"February",4212
"Alexandria","Jadelle",2016,"March",4201
"Alexandria","Jadelle",2016,"April",4304
"Alexandria","Jadelle",2016,"May",4163
"Alexandria","Jadelle",2016,"June",4033
"Alexandria","Jadelle",2016,"July",4266
"Alexandria","Jadelle",2016,"August",4071
"Alexandria","Jadelle",2016,"September",4124
"Alexandria","Jadelle",2016,"October",4343
"Alexandria","Jadelle",2016,"November",4136
"Alexandria","Jadelle",2016,"December",3993
"Alexandria","LAM",2016,"January",7141
"Alexandria","LAM",2016,"February",7282
"Alexandria","LAM",2016,"March",6828
"Alexandria","LAM",2016,"April",7098
"Alexandria","LAM",2016,"May",6630
"Alexandria","LAM",2016,"June",6652
"Alexandria","LAM",2016,"July",6644
"Alexandria","LAM",2016,"August",7297
"Alexandria","LAM",2016,"September",6786
"Alexandria","LAM",2016,"October",7274
"Alexandria","LAM",2016,"November",6994
"Alexandria","LAM",2016,"December",6933
"Alexandria","LNG-IUS",2016,"January",0
"Alexandria","LNG-IUS",2016,"February",0
"Alexandria","LNG-IUS",2016,"March",0
"Alexandria","LNG-IUS",2016,"April",0
"Alexandria","LNG-IUS",2016,"May",0
"Alexandria","LNG-IUS",2016,"June",0
"Alexandria","LNG-IUS",2016,"July",0
"Alexandria","LNG-IUS",2016,"August",0
"Alexandria","LNG-IUS",2016,"September",0
"Alexandria","LNG-IUS",2016,"October",0
"Alexandria","LNG-IUS",2016,"November",0
"Alexandria","LNG-IUS",2016,"December",0
"Alexandria","Lunelle",2016,"January",0
"Alexandria","Lunelle",2016,"February",0
"Alexandria","Lunelle",2016,"March",0
"Alexandria","Lunelle",2016,"April",0
"Alexandria","Lunelle",2016,"May",0
"Alexandria","Lunelle",2016,"June",0
"Alexandria","Lunelle",2016,"July",0
"Alexandria","Lunelle",2016,"August",0
"Alexandria","Lunelle",2016,"September",0
"Alexandria","Lunelle",2016,"October",0
"Alexandria","Lunelle",2016,"November",0
"Alexandria","Lunelle",2016,"December",0
"Alexandria","Male Condom",2016,"January",1191620
"Alexandria","Male Condom",2016,"February",1233714
"Alexandria","Male Condom",2016,"March",1129084
"Alexandria","Male Condom",2016,"April",1131880
"Alexandria","Male Condom",2016,"May",1230917
"Alexandria","Male Condom",2016,"June",1128637
"Alexandria","Male Condom",2016,"July",1124280
"Alexandria","Male Condom",2016,"August",1234161
"Alexandria","Male Condom",2016,"September",1127204
"Alexandria","Male Condom",2016,"October",1171178
"Alexandria","Male Condom",2016,"November",1235593
"Alexandria","Male Condom",2016,"December",1238518
"Alexandria","Noristerat (NET-En)",2016,"January",7217
"Alexandria","Noristerat (NET-En)",2016,"February",6587
"Alexandria","Noristerat (NET-En)",2016,"March",6880
"Alexandria","Noristerat (NET-En)",2016,"April",6945
"Alexandria","Noristerat (NET-En)",2016,"May",7226
"Alexandria","Noristerat (NET-En)",2016,"June",7012
"Alexandria","Noristerat (NET-En)",2016,"July",6577
"Alexandria","Noristerat (NET-En)",2016,"August",6792
"Alexandria","Noristerat (NET-En)",2016,"September",6858
"Alexandria","Noristerat (NET-En)",2016,"October",6924
"Alexandria","Noristerat (NET-En)",2016,"November",6923
"Alexandria","Noristerat (NET-En)",2016,"December",6879
"Alexandria","Other Injectable",2016,"January",0
"Alexandria","Other Injectable",2016,"February",0
"Alexandria","Other Injectable",2016,"March",0
"Alexandria","Other Injectable",2016,"April",0
"Alexandria","Other Injectable",2016,"May",0
"Alexandria","Other Injectable",2016,"June",0
"Alexandria","Other Injectable",2016,"July",0
"Alexandria","Other Injectable",2016,"August",0
"Alexandria","Other Injectable",2016,"September",0
"Alexandria","Other Injectable",2016,"October",0
"Alexandria","Other Injectable",2016,"November",0
"Alexandria","Other Injectable",2016,"December",0
"Alexandria","Other OC Pill",2016,"January",0
"Alexandria","Other OC Pill",2016,"February",0
"Alexandria","Other OC Pill",2016,"March",0
"Alexandria","Other OC Pill",2016,"April",0
"Alexandria","Other OC Pill",2016,"May",0
"Alexandria","Other OC Pill",2016,"June",0
"Alexandria","Other OC Pill",2016,"July",0
"Alexandria","Other OC Pill",2016,"August",0
"Alexandria","Other OC Pill",2016,"September",0
"Alexandria","Other OC Pill",2016,"October",0
"Alexandria","Other OC Pill",2016,"November",0
"Alexandria","Other OC Pill",2016,"December",0
"Alexandria","Progestin only (POP)",2016,"January",1547
"Alexandria","Progestin only (POP)",2016,"February",1680
"Alexandria","Progestin only (POP)",2016,"March",1643
"Alexandria","Progestin only (POP)",2016,"April",1553
"Alexandria","Progestin only (POP)",2016,"May",1574
"Alexandria","Progestin only (POP)",2016,"June",1628
"Alexandria","Progestin only (POP)",2016,"July",1628
"Alexandria","Progestin only (POP)",2016,"August",1707
"Alexandria","Progestin only (POP)",2016,"September",1612
"Alexandria","Progestin only (POP)",2016,"October",1626
"Alexandria","Progestin only (POP)",2016,"November",1627
"Alexandria","Progestin only (POP)",2016,"December",1701
"Alexandria","Sayana Press",2016,"January",80
"Alexandria","Sayana Press",2016,"February",83
"Alexandria","Sayana Press",2016,"March",80
"Alexandria","Sayana Press",2016,"April",84
"Alexandria","Sayana Press",2016,"May",81
"Alexandria","Sayana Press",2016,"June",85
"Alexandria","Sayana Press",2016,"July",79
"Alexandria","Sayana Press",2016,"August",83
"Alexandria","Sayana Press",2016,"September",82
"Alexandria","Sayana Press",2016,"October",84
"Alexandria","Sayana Press",2016,"November",80
"Alexandria","Sayana Press",2016,"December",82
"Alexandria","SDM (Standard Days)",2016,"January",9
"Alexandria","SDM (Standard Days)",2016,"February",9
"Alexandria","SDM (Standard Days)",2016,"March",9
"Alexandria","SDM (Standard Days)",2016,"April",10
"Alexandria","SDM (Standard Days)",2016,"May",9
"Alexandria","SDM (Standard Days)",2016,"June",10
"Alexandria","SDM (Standard Days)",2016,"July",9
"Alexandria","SDM (Standard Days)",2016,"August",9
"Alexandria","SDM (Standard Days)",2016,"September",9
"Alexandria","SDM (Standard Days)",2016,"October",9
"Alexandria","SDM (Standard Days)",2016,"November",9
"Alexandria","SDM (Standard Days)",2016,"December",10
"Alexandria","Sino-Implant",2016,"January",0
"Alexandria","Sino-Implant",2016,"February",0
"Alexandria","Sino-Implant",2016,"March",0
"Alexandria","Sino-Implant",2016,"April",0
"Alexandria","Sino-Implant",2016,"May",0
"Alexandria","Sino-Implant",2016,"June",0
"Alexandria","Sino-Implant",2016,"July",0
"Alexandria","Sino-Implant",2016,"August",0
"Alexandria","Sino-Implant",2016,"September",0
"Alexandria","Sino-Implant",2016,"October",0
"Alexandria","Sino-Implant",2016,"November",0
"Alexandria","Sino-Implant",2016,"December",0
"Alexandria","Spermicides",2016,"January",1102
"Alexandria","Spermicides",2016,"February",1112
"Alexandria","Spermicides",2016,"March",1106
"Alexandria","Spermicides",2016,"April",1071
"Alexandria","Spermicides",2016,"May",1067
"Alexandria","Spermicides",2016,"June",1061
"Alexandria","Spermicides",2016,"July",1081
"Alexandria","Spermicides",2016,"August",1107
"Alexandria","Spermicides",2016,"September",1066
"Alexandria","Spermicides",2016,"October",1053
"Alexandria","Spermicides",2016,"November",1119
"Alexandria","Spermicides",2016,"December",1092
"Alexandria","Tubal Ligation (F)",2016,"January",557
"Alexandria","Tubal Ligation (F)",2016,"February",554
"Alexandria","Tubal Ligation (F)",2016,"March",544
"Alexandria","Tubal Ligation (F)",2016,"April",550
"Alexandria","Tubal Ligation (F)",2016,"May",523
"Alexandria","Tubal Ligation (F)",2016,"June",541
"Alexandria","Tubal Ligation (F)",2016,"July",575
"Alexandria","Tubal Ligation (F)",2016,"August",547
"Alexandria","Tubal Ligation (F)",2016,"September",543
"Alexandria","Tubal Ligation (F)",2016,"October",556
"Alexandria","Tubal Ligation (F)",2016,"November",541
"Alexandria","Tubal Ligation (F)",2016,"December",554
"Alexandria","Vaginal barrier",2016,"January",0
"Alexandria","Vaginal barrier",2016,"February",0
"Alexandria","Vaginal barrier",2016,"March",0
"Alexandria","Vaginal barrier",2016,"April",0
"Alexandria","Vaginal barrier",2016,"May",0
"Alexandria","Vaginal barrier",2016,"June",0
"Alexandria","Vaginal barrier",2016,"July",0
"Alexandria","Vaginal barrier",2016,"August",0
"Alexandria","Vaginal barrier",2016,"September",0
"Alexandria","Vaginal barrier",2016,"October",0
"Alexandria","Vaginal barrier",2016,"November",0
"Alexandria","Vaginal barrier",2016,"December",0
"Alexandria","Vasectomy (M)",2016,"January",175
"Alexandria","Vasectomy (M)",2016,"February",179
"Alexandria","Vasectomy (M)",2016,"March",170
"Alexandria","Vasectomy (M)",2016,"April",163
"Alexandria","Vasectomy (M)",2016,"May",174
"Alexandria","Vasectomy (M)",2016,"June",164
"Alexandria","Vasectomy (M)",2016,"July",168
"Alexandria","Vasectomy (M)",2016,"August",174
"Alexandria","Vasectomy (M)",2016,"September",173
"Alexandria","Vasectomy (M)",2016,"October",169
"Alexandria","Vasectomy (M)",2016,"November",169
"Alexandria","Vasectomy (M)",2016,"December",180
"Alexandria","Combined Oral (COC)",2017,"January",124460
"Alexandria","Combined Oral (COC)",2017,"February",122585
"Alexandria","Combined Oral (COC)",2017,"March",119819
"Alexandria","Combined Oral (COC)",2017,"April",122865
"Alexandria","Combined Oral (COC)",2017,"May",126254
"Alexandria","Combined Oral (COC)",2017,"June",128392
"Alexandria","Combined Oral (COC)",2017,"July",121957
"Alexandria","Combined Oral (COC)",2017,"August",121897
"Alexandria","Combined Oral (COC)",2017,"September",126314
"Alexandria","Combined Oral (COC)",2017,"October",125346
"Alexandria","Combined Oral (COC)",2017,"November",125626
"Alexandria","Combined Oral (COC)",2017,"December",123751
"Alexandria","Copper- T 380-A IUD",2017,"January",1026
"Alexandria","Copper- T 380-A IUD",2017,"February",1050
"Alexandria","Copper- T 380-A IUD",2017,"March",1099
"Alexandria","Copper- T 380-A IUD",2017,"April",1120
"Alexandria","Copper- T 380-A IUD",2017,"May",1065
"Alexandria","Copper- T 380-A IUD",2017,"June",1126
"Alexandria","Copper- T 380-A IUD",2017,"July",1091
"Alexandria","Copper- T 380-A IUD",2017,"August",1036
"Alexandria","Copper- T 380-A IUD",2017,"September",1030
"Alexandria","Copper- T 380-A IUD",2017,"October",1131
"Alexandria","Copper- T 380-A IUD",2017,"November",1058
"Alexandria","Copper- T 380-A IUD",2017,"December",1106
"Alexandria","Depo Provera (DMPA)",2017,"January",56790
"Alexandria","Depo Provera (DMPA)",2017,"February",54936
"Alexandria","Depo Provera (DMPA)",2017,"March",53515
"Alexandria","Depo Provera (DMPA)",2017,"April",54916
"Alexandria","Depo Provera (DMPA)",2017,"May",52566
"Alexandria","Depo Provera (DMPA)",2017,"June",56128
"Alexandria","Depo Provera (DMPA)",2017,"July",54047
"Alexandria","Depo Provera (DMPA)",2017,"August",52172
"Alexandria","Depo Provera (DMPA)",2017,"September",56396
"Alexandria","Depo Provera (DMPA)",2017,"October",54026
"Alexandria","Depo Provera (DMPA)",2017,"November",52835
"Alexandria","Depo Provera (DMPA)",2017,"December",55447
"Alexandria","EC",2017,"January",20752
"Alexandria","EC",2017,"February",20660
"Alexandria","EC",2017,"March",20739
"Alexandria","EC",2017,"April",20009
"Alexandria","EC",2017,"May",19400
"Alexandria","EC",2017,"June",19101
"Alexandria","EC",2017,"July",20453
"Alexandria","EC",2017,"August",19791
"Alexandria","EC",2017,"September",20062
"Alexandria","EC",2017,"October",19844
"Alexandria","EC",2017,"November",19193
"Alexandria","EC",2017,"December",19114
"Alexandria","Female Condom",2017,"January",4760
"Alexandria","Female Condom",2017,"February",4523
"Alexandria","Female Condom",2017,"March",4493
"Alexandria","Female Condom",2017,"April",4730
"Alexandria","Female Condom",2017,"May",4620
"Alexandria","Female Condom",2017,"June",4545
"Alexandria","Female Condom",2017,"July",4513
"Alexandria","Female Condom",2017,"August",4634
